bpl,latitude,longitude
105,0,0
5,34.9513,-92.3809
38,47.5362,-99.793
45,33.8191,-80.9066
4,33.7712,-111.3877
10,39.3498,-75.5148
11,38.8964,-77.0262
12,27.8333,-81.717
13,32.9866,-83.6487
15,21.1098,-157.5311
16,44.2394,-114.5103
17,40.3363,-89.0022
18,39.8647,-86.2604
19,42.0046,-93.214
30,46.9048,-110.3261
31,41.1289,-98.2883
36,42.1497,-74.9384
37,35.6411,-79.8431
34,40.314,-74.5089
35,34.8375,-106.2371
49,40.1135,-111.8535
44,41.6772,-71.5101
50,44.0407,-72.7093
48,31.106,-97.6475
42,40.5773,-77.264
32,38.4199,-117.1219
53,47.3917,-121.5708
100,14.2417,-170.7197
47,35.7449,-86.7489
25,42.2373,-71.5314
2,61.385,-152.2683
1,32.799,-86.8073
26,43.3504,-84.5603
21,37.669,-84.6514
20,38.5111,-96.8005
23,44.6074,-69.3977
22,31.1801,-91.8749
33,43.4108,-71.5653
46,44.2853,-99.4632
9,41.5834,-72.7622
8,39.0646,-105.3272
29,38.4623,-92.302
28,32.7673,-89.6812
41,44.5672,-122.1269
40,35.5376,-96.9247
115,18.0001,-64.8199
24,39.0724,-76.7902
27,45.7326,-93.9196
110,18.2766,-66.335
39,40.3736,-82.7755
51,37.768,-78.2057
54,38.468,-80.9696
56,42.7475,-107.2085
55,44.2563,-89.6385
6,36.17,-119.7462
210,0.0,0.0
499,0.0,0.0
524,28.0,84.0
542,39.0,35.0
543,24.0,54.0
405,62.0,15.0
404,62.0,10.0
403,0.0,0.0
402,65.0,-18.0
401,64.0,26.0
400,56.0,10.0
548,0.0,0.0
549,0.0,0.0
999,0.0,0.0
710,0.0,0.0
299,0.0,0.0
260,0.0,0.0
537,33.8333,35.8333
536,29.3375,47.6581
535,31.0,36.0
534,0.0,0.0
533,0.0,0.0
532,33.0,44.0
531,35.0,33.0
530,26.0,50.55
419,0.0,0.0
539,25.5,51.25
538,21.0,57.0
199,0.0,0.0
599,0.0,0.0
700,0.0,0.0
414,53.0,-8.0
429,0.0,0.0
520,33.0,65.0
521,20.0,77.0
522,0.0,0.0
523,3.25,73.0
421,46.0,2.0
420,50.8333,4.0
423,49.75,6.1667
422,47.1667,9.5333
425,52.5,5.75
424,43.7333,7.4
426,0.0,0.0
410,0.0,0.0
412,0.0,0.0
300,0.0,0.0
440,0.0,0.0
411,0.0,0.0
900,0.0,0.0
519,0.0,0.0
518,0.0,0.0
438,40.0,-4.0
439,0.0,0.0
511,0.0,0.0
510,0.0,0.0
513,0.0,0.0
512,-5.0,120.0
515,13.0,122.0
514,2.5,112.5
517,15.0,100.0
516,1.3667,103.8
458,0.0,0.0
459,0.0,0.0
450,47.3333,13.3333
451,43.0,25.0
452,0.0,0.0
453,51.0,9.0
454,47.0,20.0
455,52.0,20.0
456,46.0,25.0
457,0.0,0.0
250,21.5,-80.0
413,54.0,-2.0
540,25.0,45.0
541,0.0,0.0
509,0.0,0.0
546,0.0,0.0
502,0.0,0.0
500,35.0,105.0
501,36.0,138.0
544,0.0,0.0
465,0.0,0.0
545,15.0,48.0
461,57.0,25.0
460,59.0,26.0
463,0.0,0.0
462,56.0,24.0
160,0.0,0.0
547,0.0,0.0
150,60.0,-95.0
155,0.0,0.0
600,0.0,0.0
550,0.0,0.0
800,-90.0,0.0
950,0.0,0.0
200,23.0,-102.0
436,39.5,-8.0
437,43.7667,12.4167
434,42.8333,12.8333
435,35.8333,14.5833
432,36.1833,-5.3667
433,39.0,22.0
430,41.0,20.0
431,42.5,1.5
