bpl,latitude,longitude
45740,0.0,0.0
41011,0.0,0.0
41010,0.0,0.0
54600,0.0,0.0
41012,0.0,0.0
45020,0.0,0.0
54210,0.0,0.0
60060,0.0,0.0
45800,0.0,0.0
51300,0.0,0.0
60065,15.0000,39.0000
45730,44.0000,21.0000
54500,15.0000,48.0000
60059,0.0,0.0
12090,0.0,0.0
71000,0.0,0.0
53410,0.0,0.0
49900,0.0,0.0
40010,0.0,0.0
43800,40.0000,-4.0000
51600,1.3667,103.8000
40200,65.0000,-18.0000
52000,33.0000,65.0000
90010,0.0,0.0
21060,13.0000,-85.0000
60094,0.0,0.0
60095,-26.5000,31.5000
26094,0.0,0.0
26095,0.0,0.0
26092,0.0,0.0
26093,0.0,0.0
26090,0.0,0.0
26091,0.0,0.0
52300,3.2500,73.0000
46000,59.0000,26.0000
43500,35.8333,14.5833
46548,0.0,0.0
52130,0.0,0.0
46542,0.0,0.0
46543,48.0000,68.0000
46540,40.0000,45.0000
46541,40.5000,47.5000
46546,40.0000,60.0000
46547,41.0000,64.0000
42900,0.0,0.0
46545,0.0,0.0
51500,13.0000,122.0000
60000,0.0,0.0
80050,0.0,0.0
11000,18.2500,-66.5000
15032,0.0,0.0
26045,0.0,0.0
15030,0.0,0.0
41900,0.0,0.0
26044,13.1667,-59.5333
26020,19.0000,-72.4167
43600,39.5000,-8.0000
53600,29.3375,47.6581
45700,0.0,0.0
53210,0.0,0.0
50900,0.0,0.0
45200,0.0,0.0
50040,0.0,0.0
45362,0.0,0.0
45361,0.0,0.0
45360,0.0,0.0
45010,0.0,0.0
20000,23.0000,-102.0000
45311,0.0,0.0
11530,0.0,0.0
45060,0.0,0.0
16030,0.0,0.0
21020,10.0000,-84.0000
71050,0.0,0.0
51800,0.0,0.0
12051,0.0,0.0
12050,0.0,0.0
12053,0.0,0.0
12052,0.0,0.0
12055,0.0,0.0
12054,0.0,0.0
50220,0.0,0.0
60047,-13.5000,34.0000
60046,-20.0000,47.0000
60045,1.0000,38.0000
60044,8.0000,38.0000
60043,11.5000,43.0000
60042,-12.1667,44.2500
60041,-3.5000,30.0000
60040,-6.0000,71.5000
30025,4.0000,-72.0000
30020,-30.0000,-71.0000
60049,-18.2500,35.0000
60048,-20.2833,57.5500
54100,0.0,0.0
21090,0.0,0.0
45400,47.0000,20.0000
42300,49.7500,6.1667
26061,0.0,0.0
26060,11.0000,-61.0000
70020,-41.0000,174.0000
26069,0.0,0.0
43320,0.0,0.0
53100,35.0000,33.0000
43640,0.0,0.0
46530,49.0000,32.0000
40412,0.0,0.0
40410,0.0,0.0
40411,0.0,0.0
50000,35.0000,105.0000
15040,0.0,0.0
42600,47.0000,8.0000
80020,0.0,0.0
45530,0.0,0.0
45750,0.0,0.0
45050,0.0,0.0
41000,0.0,0.0
41410,0.0,0.0
54200,39.0000,35.0000
41300,54.0000,-2.0000
42111,0.0,0.0
45331,0.0,0.0
45332,0.0,0.0
42112,0.0,0.0
60019,0.0,0.0
54700,0.0,0.0
71012,-6.0000,147.0000
71013,-8.0000,159.0000
71010,-21.5000,165.5000
71011,0.0,0.0
71014,0.0,0.0
42500,52.5000,5.7500
53420,0.0,0.0
45900,0.0,0.0
16060,0.0,0.0
51200,-5.0000,120.0000
70010,-27.0000,133.0000
60082,0.0,0.0
60081,0.0,0.0
60080,0.0,0.0
52400,28.0000,84.0000
50210,0.0,0.0
21050,15.0000,-86.5000
12000,0.0,0.0
43900,0.0,0.0
51100,0.0,0.0
30015,-10.0000,-55.0000
52100,20.0000,77.0000
30010,0.0,0.0
11500,0.0,0.0
15000,60.0000,-95.0000
60014,32.0000,-5.0000
60015,15.0000,30.0000
60016,34.0000,9.0000
60017,24.5000,-13.0000
60010,0.0,0.0
60011,28.0000,3.0000
60012,0.0,0.0
60013,25.0000,17.0000
70011,0.0,0.0
30060,-33.0000,-56.0000
70012,0.0,0.0
46300,0.0,0.0
43630,0.0,0.0
30065,0.0,0.0
26030,18.2500,-77.5000
45710,45.1667,15.5000
45301,0.0,0.0
45300,51.0000,9.0000
45303,0.0,0.0
45302,0.0,0.0
10010,-13.5833,-172.3333
45780,46.0000,15.0000
54800,0.0,0.0
51400,2.5000,112.5000
50030,46.0000,105.0000
45000,47.3333,13.3333
71044,0.0,0.0
16050,0.0,0.0
11520,0.0,0.0
53500,31.0000,36.0000
43700,43.7667,12.4167
16020,16.0000,-24.0000
60099,0.0,0.0
25000,21.5000,-80.0000
21010,0.0,0.0
12040,0.0,0.0
12041,0.0,0.0
43000,41.0000,20.0000
60050,0.0,0.0
60051,-2.0000,30.0000
60052,-4.5833,55.6667
60053,10.0000,49.0000
60054,0.0,0.0
60055,1.0000,32.0000
60056,-15.0000,30.0000
60057,-20.0000,30.0000
60058,0.0,0.0
30050,-10.0000,-76.0000
30055,4.0000,-56.0000
12010,0.0,0.0
26070,0.0,0.0
26071,12.5000,-69.9667
26072,0.0,0.0
26073,0.0,0.0
26074,0.0,0.0
26075,0.0,0.0
26076,0.0,0.0
26077,0.0,0.0
26079,0.0,0.0
43620,0.0,0.0
45347,0.0,0.0
53300,0.0,0.0
45610,0.0,0.0
46520,0.0,0.0
46521,0.0,0.0
60025,12.0000,-15.0000
60024,11.0000,-10.0000
60027,6.5000,-9.5000
60026,0.0,0.0
